_id,pubmed_id,title,abstract,authors[0],authors[1],authors[2],authors[3],authors[4],authors[5],authors[6],authors[7],authors[8],authors[9],authors[10],authors[11],authors[12],authors[13],authors[14],authors[15],authors[16],authors[17],authors[18],authors[19],authors[20],authors[21],authors[22],authors[23],authors[24],authors[25],authors[26],authors[27],authors[28],authors[29],authors[30],authors[31],authors[32],authors[33],authors[34],authors[35],authors[36],authors[37],authors[38],authors[39],authors[40],authors[41],authors[42],authors[43],authors[44],authors[45],authors[46],authors[47],authors[48],authors[49],journal,publication_date,doi,fulltext_link,pmcid,access,volume,issue,pages,updated_title,pdf_file,suggested_tags[0],suggested_tags[1],suggested_tags[2],suggested_tags[3],suggested_tags[4],suggested_tags[5],suggested_tags[6],suggested_tags[7],suggested_tags[8],suggested_tags[9],webscraped_date,status,moved,keywords[0],keywords[1],keywords[2],keywords[3],keywords[4],keywords[5],keywords[6],keywords[7],keywords[8],keywords[9],keywords[10]
6812ea454ef6922f6d69067d,40305479,Impact of PCI strategies on outcomes of patients undergoing Transcatheter Aortic Valve Implantation with concomitant coronary artery disease: A systematic review and meta-analysis.,"The aim of this study is to compare the clinical benefits associated with different percutaneous coronary intervention (PCI) timing strategies in patients undergoing transcatheter aortic valve implantation (TAVI) who have coexisting coronary artery disease (CAD). A systematic review and meta-analysis were conducted. PubMed, EMBASE, Cochrane Library and Web of Science databases were searched for relevant articles up to April 10th, 2024. Studies that reported comparisons of clinical outcomes between PCI before/concomitant with TAVI (PCI-TAVI) vs. TAVI alone, or comparisons between PCI before/concomitant with TAVI vs. PCI after TAVI (TAVI-PCI) were selected. Primary outcomes were all-cause mortality in the short-term, mid-term and long-term follow-up. A total of 23 studies pooling 15812 patients were included. Compared to TAVI alone, PCI-TAVI showed no significant difference in all-cause mortality at short- and mid-term (RRshort-term = 1.10 95%CI 0.88-1.38; RRmid-term = 1.12 95%CI 0.97-1.30), but an increase during long-term follow-up (RRlong-term = 1.20 95%CI 1.06-1.36). Compared with PCI-TAVI, TAVI-PCI is associated with lower rate of all-cause mortality at both short- and long-term follow-ups. PCI before or concomitant with TAVI may not offer clinical benefits and could potentially lead to worse outcomes in the long term. Conversely, PCI after TAVI is associated with improved clinical outcomes in both the short and long term.",Dayang Wang,Sijia Lai,Zichen Wang,Changbo Xuan,Xiaoxia Ren,Wenhua Peng,Guozhong Pan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PloS one,2025-05-01,10.1371/journal.pone.0321395,https://doi.org/10.1371/journal.pone.0321395,PMC12043176,Free,20,4,e0321395,Impact of PCI strategies on outcomes of Pts undergoing TAVI with concomitant CAD A systematic review and meta analysis WANG 2025,pdfs\Impact of PCI strategies on outcomes of Pts undergoing TAVI with concomitant CAD A systematic review and meta analysis WANG 2025.pdf,PCI,Aortic Valve Implantation,TAVI,Transcatheter Aortic Valve,undergoing Transcatheter Aortic,Aortic Valve,Valve Implantation,Transcatheter Aortic,coronary artery disease,patients undergoing Transcatheter,2025-05-01,approved,true,,,,,,,,,,,
6812ea454ef6922f6d69067e,40305236,Management of difficult coronary anatomy during transcatheter aortic valve implantation: what are the key issues?,"PURPOSE OF REVIEW: Predicting and preventing coronary obstruction in transcatheter aortic valve replacement (TAVR) is crucial due to its high mortality risk.\nRECENT FINDINGS: In native TAVR, predicting coronary obstruction requires assessing aortic cusp height, coronary artery height, valve-to-coronary distance, and leaflet calcium volume. The VIVID classification has been proposed for evaluating the risk of coronary obstruction in TAVR for failed bioprosthetic surgical valves. After TAVR with the Sapien 3 valve, the feasibility of redo TAVR and coronary access decreases with a shallower implantation of the initial Sapien 3. In redo TAVR of Sapien 3 within an Evolut valve, positioning the Sapien 3 outflow at node 4 improves redo TAVR feasibility and coronary accessibility compared to positioning at nodes 5 or 6. For valve sizing in redo TAVR with Sapien 3, in-vivo CT sizing results in smaller valve sizes than bench sizing, reducing coronary risk and improving redo TAVR feasibility. Leaflet modification and coronary stenting techniques and a dedicated leaflet-splitting device have been proposed to maintain coronary perfusion in high-risk cases.\nSUMMARY: Coronary preservation in high-risk TAVR remains a significant challenge, requiring further research into preprocedural planning and leaflet modification strategies.",Takayuki Onishi,Gilbert H L Tang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current opinion in cardiology,2025-04-25,10.1097/HCO.0000000000001229,https://doi.org/10.1097/HCO.0000000000001229,,Paid,,,,Management of difficult coronary anatomy during TAVI what are the key issues? ONISHI 2025,Not available,TAVR,redo TAVR,difficult coronary anatomy,transcatheter aortic valve,coronary,PURPOSE OF REVIEW,Sapien,redo TAVR feasibility,Management of difficult,key issues,2025-04-30,rejected,,coronary occlusion,coronary protection: redo transcatheter aortic valve replacement,leaflet modification,transcatheter aortic valve replacement,,,,,,,
6812ea464ef6922f6d69067f,40304647,Invasive Versus Echocardiographic Aortic Valve Gradients Pre and Post Balloon-Expandable TAV-in-TAV for Failed TAVR Prosthesis.,No Abstract Found,Luai Madanat,Ivan D Hanson,Ahmad Jabri,Brian Renard,Amr E Abbas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACC. Asia,2025-04-02,10.1016/j.jacasi.2025.02.016,https://doi.org/10.1016/j.jacasi.2025.02.016,,Paid,,,,Invasive Versus Echocardiographic Aortic Valve Gradients Pre and Post Balloon Expandable TAV in TAV for Failed TAVR Prosthesis MADANAT 2025,Not available,Failed TAVR Prosthesis,Versus Echocardiographic Aortic,Echocardiographic Aortic Valve,Aortic Valve Gradients,Valve Gradients Pre,Invasive Versus Echocardiographic,TAVR Prosthesis,Versus Echocardiographic,Echocardiographic Aortic,Aortic Valve,2025-04-30,,,TAV-in-TAV,discordance,echocardiographic mean gradients,invasive transaortic mean gradient,transcatheter aortic valve replacement,,,,,,
6812ea494ef6922f6d690680,40301470,Risk factors and prognosis of silent cerebral infarction after transcatheter aortic valve replacement.,"The Valve Academic Research Consortium (VARC)-3 definition of silent cerebral infarction among neurologic events after transcatheter aortic valve replacement (TAVR) lacks clinical validation, yet its impact on postoperative in-hospital outcomes and long-term prognosis remains uncertain. This study aims to explore the perioperative related factors influencing the risk of SCI post-TAVR as defined by VARC-3 criteria, so as to identify high-risk individuals early and assess the effect of SCI on patient outcomes and one-year mortality following TAVR. This was a single-center study including 613 patients with severe aortic stenosis undergoing TAVR, with all data collected prospectively in a dedicated database.We compared clinical baseline data, preoperative imaging results, perioperative factors, and intraoperative variables between patients with and without SCI according to VARC-3. Multivariate logistic regression was used to identify risk factors associated with SCI. Propensity score matching (PSM) at a 1:2 ratio was employed based on fundamental characteristics such as age, gender, BMI, and medical history to minimize potential confounding. Post-matching, we analyzed differences in postoperative in-hospital outcomes and other results between the two groups. Survival times were compared using the Kaplan-Meier method, and survival curves were plotted. The log-rank test assessed statistical differences between the survival curves. Furthermore, univariate and multivariate Cox regression analyses were conducted to determine risk factors for one-year postoperative mortality. Out of 827 TAVR patients screened, 613 were included in the final analysis-471 in the SCI group and 142 in the non-SCI group-resulting in an incidence rate of 76.8% for SCI. The occurrence of post-induction hypotension was significantly higher in the SCI group compared to the non-SCI group (70.28% vs. 61.27%, P = 0.043). Multivariate logistic regression revealed that post-induction hypotension lasting less than 10 min (odds ratio [OR]: 1.73; 95% confidence interval [CI]: 1.13-3.26; P = 0.009), hypotension lasting more than 10 min (OR: 1.98; 95% CI: 1.18-3.33; P = 0.01), and postoperative tachyarrhythmia (OR: 1.98; 95% CI: 1.27-3.07; P = 0.002) were significant risk factors for developing SCI after TAVR. Following 1:2 PSM, 416 patients remained-274 in the SCI group and 142 in the non-SCI group. After matching, the SCI group had a notably higher incidence of postoperative delirium compared to the non-SCI group (9.12% vs. 2.82%; P = 0.017), and their one-year mortality rate was also elevated (5.47% vs. 0.70%; P = 0.016). Additionally, multivariate Cox regression analysis indicated that elevated preoperative creatinine levels (hazard ratio [HR]: 1.01; 95% CI: 1.01-1.02; P = 0.011), presence of SCI (HR: 10.81; 95% CI: 1.31-89.18; P = 0.027), Society of Thoracic Surgeons (STS) score greater than 7% (HR: 3.32; 95% CI: 1.07-10.33; P < 0.038), age 75 years or older (HR: 7.86; 95% CI: 1.01-14.47; P = 0.049), and a history of stroke (HR: 7.20; 95% CI: 2.32-22.35; P < 0.001) were independent risk factors for one-year mortality post-TAVR. Our findings suggest that post-induction hypotension and postoperative tachyarrhythmia are significant risk factors for SCI following TAVR as defined by VARC-3 criteria. Patients who developed SCI after TAVR exhibited higher rates of postoperative delirium and increased one-year mortality compared to those without this complication. Furthermore, factors such as elevated preoperative creatinine levels, an STS score above 7%, age of 75 years or older, and a prior history of stroke were associated with higher one-year mortality rates after TAVR. Given the negative impact of occult SCI on clinical outcomes, every effort should be made to reduce the risk of neurological complications after TAVR.",Shuguang Wu,Yi Liu,Tingting Ni,Tao Lv,Yuanyuan Yao,Min Yan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scientific reports,2025-04-29,10.1038/s41598-025-99173-8,https://doi.org/10.1038/s41598-025-99173-8,PMC8778528,Free,15,1,15006,Risk factors and prognosis of silent cerebral infarction after TAVR WU 2025,pdfs\Risk factors and prognosis of silent cerebral infarction after TAVR WU 2025.pdf,silent brain infarcts,silent brain,SCI,silent,TAVR,transcatheter aortic valve,stroke,SCI group,brain infarcts,Risk,2025-04-30,rejected,true,Clinical outcomes,Mortality,Postoperative delirium,Risk factors,Silent cerebral infarction,Transcatheter aortic valve replacement,VARC-3,,,,
6812ea494ef6922f6d690681,40298371,AI-based prediction of left bundle branch block risk post-TAVI using pre-implantation clinical parameters.,"BACKGROUND AND AIMS: Transcatheter Aortic Valve Implantation (TAVI) has revolutionized the treatment of severe aortic stenosis. Although its clinical efficacy is well established, the development of new-onset left bundle branch block (LBBB) following TAVI remains a frequent and concerning complication. This study aims to develop pre-implantation predictive models for new-onset LBBB after TAVI using both conventional machine learning (ML) algorithms and Large Language Models (LLMs).\nMETHODS: Of the 1113 patients who underwent TAVI over a 15-year period, 469 were included after excluding those with preexisting LBBB, pacing rhythm, or missing relevant data. Pre-procedural clinical parameters - such as valve type, valve size, patient demographics, and comorbidities - were analyzed. The dataset was split into training and testing sets. Several ML algorithms were employed, and performance was evaluated using accuracy, precision, and F1 score. Additionally, LLMs (GPT-3.5 and GPT-4) were assessed using Few-Shot and Chain of Thought (CoT) prompting.\nRESULTS: New-onset persistent LBBB occurred in 15.29% of patients. Among ML models, XGBoost performed best. GPT-4 with CoT prompting demonstrated superior predictive performance compared to both conventional ML and GPT-3.5.\nCONCLUSIONS: The current study establishes a predictive model leveraging pre-implantation parameters to anticipate the occurrence of new-onset left bundle branch block (LBBB) post-Transcatheter Aortic Valve Implantation (TAVI).\nTranscatheter Aortic Valve Replacement (TAVR) is a less invasive procedure used to treat patients with severe narrowing of the aortic valve. While it has significantly improved patient outcomes, some individuals develop a new heart rhythm problem called left bundle branch block (LBBB) after the procedure. LBBB can affect the heart’s electrical system and, in some cases, lead to complications such as the need for a permanent pacemaker.This study aimed to predict which patients are most likely to develop LBBB before the TAVR procedure by using artificial intelligence (AI) models. We analyzed data from 469 patients and tested different machine learning techniques, including traditional AI models and large language models (LLMs) such as GPT-4. Our results showed that XGBoost, a machine learning algorithm, was the most accurate in predicting LBBB risk, while GPT-4 performed well when prompted using a specific reasoning approach (Chain of Thought method).These findings suggest that AI models can help identify high-risk patients before the procedure, allowing doctors to make better treatment decisions. However, further studies with larger patient groups are needed to confirm the accuracy of these predictions and improve personalized care for TAVR patients.",Cheilas Vasileios,Filandrianos Giorgos,Martinos Antonios,Kostopoulou Anna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Future cardiology,2025-04-29,10.1080/14796678.2025.2498866,https://doi.org/10.1080/14796678.2025.2498866,,Paid,,,1-6,AI based prediction of LBBB risk post TAVI using pre implantation clinical parameters VASILEIOS 2025,Not available,Aortic Valve Implantation,left bundle branch,LBBB,Aortic Valve,bundle branch block,Transcatheter Aortic Valve,TAVI,bundle branch,Valve,Valve Implantation,2025-04-30,rejected,,LLMs,Transcatheter aortic valve replacement,aortic stenosis,artificial intelligence,individualized risk assessment,left bundle branch block,pre implantation predictors,,,,
6812ea4e4ef6922f6d690682,40297162,"Current hotspot and study trend of transcatheter aortic valve replacement, a bibliometric analysis from 2009 to 2023.","INTRODUCTION: Transcatheter aortic valve replacement (TAVR), alternatively termed transcatheter aortic valve implantation (TAVI), represents a seminal advancement in cardiovascular interventions by obviating the necessity for open-heart surgery traditionally associated with surgical aortic valve replacement (SAVR). This technique entails percutaneous delivery of a bioprosthetic valve. Despite the surfeit of literature on TAVR over the past fifteen years, a bibliometric analysis is conspicuously absent.\nMETHOD: A query executed on the Web of Science Core Collection (WoSCC) on September 1, 2022, returned 8,359 articles and reviews pertinent to TAVR. Data interpretation leveraged Microsoft Excel, CiteSpace, and VOSviewer to illustrate trends and delineate focal points within the corpus of TAVR research.\nRESULT: The analysis incorporated 8,359 articles and reviews on TAVR from January 1, 2009, to August 1, 2023. Publication volume expanded from 35 in 2009 to a pinnacle in 2020, reflecting a near thirty folds increase, with citations escalating from 56 in 2009 to 27,354 in 2021. The United States prevailed in scholarly output (Np = 3,015), citation frequency (Nc = 70,991, excluding self-citations), and academic impact (H-index = 120). Columbia University was distinguished by the highest number of publications (Np = 380), citations (Nc = 41,051), and H-index (84). Within the author community, Rodes-Cabau J was preeminent, with 260 publications and an equivalent citation index and H-index. Keywords such as ""balloon-expandable valve,"" ""coronary access,"" ""next-day discharge,"" ""conducti on disturbances,"" and ""coronary obstruction"" have surfaced as the lexicon of burgeoning research themes.\nCONCLUSION: Investigation into TAVR has emerged as a major area of scholarly focus. The United States stands at the forefront of this research. Columbia University ranks as the preeminent institution in terms of publication output. Key research themes such as ""balloon-expandable valve,"" ""coronary access,"" and ""coronary obstruction"" are shaping up as current and prospective research hotspots, signaling potential areas for future study and innovation.",Ping Lai,Dekuan Zhang,Jin-Hua Xue,Shuquan Xu,Kejun Tian,Hong-Zhou Zhang,Bei Wang,Yi-Ming Zhong,Yong-Ling Liao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frontiers in cardiovascular medicine,2025-04-30,10.3389/fcvm.2025.1411561,https://doi.org/10.3389/fcvm.2025.1411561,PMC12034703,Free,12,,1411561,Current hotspot and study trend of TAVR a bibliometric analysis from 2009 to 2023 LAI 2025,pdfs\Current hotspot and study trend of TAVR a bibliometric analysis from 2009 to 2023 LAI 2025.pdf,transcatheter aortic valve,aortic valve replacement,aortic valve,transcatheter aortic,valve replacement,TAVR,aortic valve implantation,Gannan Medical University,valve,aortic,2025-04-30,approved,,CiteSpace,VOSviewer,bibliometric analysis,research hotspot,transcatheter aortic valve replacement,,,,,,
6812ea524ef6922f6d690683,40295400,Experience with a Large-Bore Vascular Closure Device in Patients Undergoing a Percutaneous Endovascular Aneurysm Repair (EVAR): A Multicentre Study.,"PURPOSE: Endovascular aneurysm repair (EVAR) is the preferred treatment for infrarenal aortic aneurysms, offering lower perioperative morbidity and mortality compared to open surgery. Common femoral artery (CFA) access can be achieved percutaneously or through surgical cutdown, with a percutaneous approach gaining more and more popularity. The MANTA vascular closure device (VCD), a collagen plug-based device, has shown promising results in transcatheter aortic valve replacement, but data on its use in percutaneous EVAR (pEVAR), particularly in obese patients, remain limited.\nMATERIAL AND METHODS: This retrospective study included all patients who underwent pEVAR from October 2018 to December 2022 across three Dutch hospitals and in whom the MANTA VCD has been applied. Patient demographics, perioperative characteristics, and clinical outcomes were recorded. Subgroup analysis was performed based on body mass index (BMI), comparing outcomes in obese (BMI ≥ 30) and non-obese (BMI < 30) patients. Technical success and access site complications were primary and secondary outcomes, respectively.\nRESULTS: A total of 549 patients (mean age 75.16 ± 7.09 years, 88.9% male) were included, with 140 classified as obese. The MANTA VCD was used in 1024 CFAs. Overall technical success, defined as vascular closure with patent CFA, without requiring immediate surgery, was 98%, with a 3.1% complication rate, primarily due to closure failure. In obese patients, technical success was 98.9%, with a 1.5% complication rate, showing comparable outcomes to non-obese patients.\nCONCLUSION: The MANTA VCD is effective and safe for CFA closure in pEVAR, including in obese patients. Given rising obesity rates, the favorable outcomes in this population are encouraging and suggesting a broader applicability in large-bore percutaneous procedures.",Jacob Michiels,Maxim Peeters,Martine Uittenbogaart,Rens Oosterveld,Lucas Bloo,Maarten Loos,Lee Bouwman,Roel Janssen,Jan-Willem Elshof,Ozan Yazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cardiovascular and interventional radiology,2025-04-28,10.1007/s00270-025-04040-8,https://doi.org/10.1007/s00270-025-04040-8,PMC9790995,Free,,,,Experience with a Large Bore Vascular Closure Device in Pts Undergoing a Percutaneous Endovascular Aneurysm Repair EVAR A Multicentre Study MICHIELS 2025,pdfs\Experience with a Large Bore Vascular Closure Device in Pts Undergoing a Percutaneous Endovascular Aneurysm Repair EVAR A Multicentre Study MICHIELS 2025.pdf,Endovascular Aneurysm Repair,aortic valve,biCuspId aortic valve,transcatheter aortic valve,Percutaneous Endovascular Aneurysm,aortic valve replacement,Endovascular Aneurysm,valve,THV,coronary,2025-04-30,approved,,EVAR,Endovascular aneurysm repair,MANTA vascular closure device,Obesity,Percutaneous closure,Vascular surgery,,,,,
6812ea544ef6922f6d690684,40295134,"Evaluation of the efficacy of angiotensin receptor-neprilysin inhibitor in patients with aortic stenosis undergoing transcatheter aortic valve implantation: protocol for a randomised, open-label, controlled study.","INTRODUCTION: There are a substantial number of patients developing heart failure after transcatheter aortic valve implantation (TAVI) for severe aortic stenosis (AS), even though AS has been successfully treated. The purpose of this randomised controlled trial was to determine whether the addition of an angiotensin receptor-neprilysin inhibitor (ARNI), sacubitril/valsartan, is superior to conventional medications in lowering N-terminal pro-B-type natriuretic peptide (NT-proBNP) levels in patients undergoing TAVI for AS.\nMETHODS AND ANALYSIS: The study design is a prospective, single-centre, open-label, randomised, parallel-group, two-arm study, in which participants will be randomised in a 1:1 ratio to receive either conventional medications plus ARNI or conventional medications only. In the ARNI group, if a patient was on an ACE inhibitor or angiotensin II receptor blocker before TAVI, it will be switched to ARNI 100 mg/day (50 mg two times per day) on the first postoperative day. If not, candesartan 4 mg/day will be started 1-2 days before TAVI, and switched to ARNI 100 mg/day on the first postoperative day. As the patient has tolerability to ARNI, dosage will be increased stepwise to 400 mg/day 2-4 weeks apart. ARNI will be continued until at least 6-month follow-up. In the control group, the patient will receive conventional medications. The primary endpoint is the serum NT-proBNP value at 6-month follow-up after TAVI. Each group includes 42 patients (84 total patients).\nETHICS AND DISSEMINATION: Ethical approval for this study has been obtained from the Chiba University Hospital Certified Clinical Research Review Board (CRB3180015). The study is ongoing. Findings from this study will be disseminated through peer-reviewed publications and conference presentations.\nTRIAL REGISTRATION NUMBER: This trial has been registered on the Japan Registry of Clinical Trials: jRCT1031220344.",Hideki Kitahara,Shogo Okita,Takeshi Sugawara,Hiroaki Yaginuma,Hiroki Goto,Hiroaki Yamamoto,Tomoyoshi Kanda,Kaoru Matsuura,Yosuke Inaba,Hideki Hanaoka,Goro Matsumiya,Yoshio Kobayashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMJ open,2025-04-28,10.1136/bmjopen-2024-095105,https://doi.org/10.1136/bmjopen-2024-095105,PMC12039011,Free,15,4,e095105,Evaluation of the efficacy of angiotensin receptor neprilysin inhibitor in Pts with AS undergoing TAVI protocol for a randomised open label controlled study KITAHARA 2025,pdfs\Evaluation of the efficacy of angiotensin receptor neprilysin inhibitor in Pts with AS undergoing TAVI protocol for a randomised open label controlled study KITAHARA 2025.pdf,ARNI,TAVI,ARNI group,patients undergoing TAVI,patients,heart failure,study,transcatheter aortic valve,conventional medications,group,2025-04-30,rejected,,Adult cardiology,Heart failure,Valvular heart disease,,,,,,,,
6812ea544ef6922f6d690685,40293726,Transcatheter aortic valve implantation versus surgery in low-risk patients: in-hospital and mid-term outcomes.,"OBJECTIVES: aim of our study is to compare post procedural outcomes and mid-term mortality of low-risk patients treated by transfemoral TAVI or surgical AVR for severe aortic stenosis.\nMETHODS: Data of consecutive patients undergoing AVR or TAVI from 09/2017 to 12/2021 were prospectively collected and retrospectively reviewed. Eligible patients were aged between 75 and 85 years with low-surgical risk and isolated severe aortic stenosis. Exclusion criteria were prior heart surgery, valve-in-valve procedure, and the need for concomitant procedures. The primary end-point was mid-term all-cause mortality.\nRESULTS: 351 patients were enrolled. 243 underwent TAVI and 108 underwent AVR. Compared to AVR, TAVI patients were older (82 [78-83 ] vs 78 [77-80], p < 0.001), with higher incidence of advanced CKD (33.3% vs 15.7%, p < 0,001) and poor mobility (15.6% vs 5.6%, p = 0.008) and a higher Euroscore II (2.2 [1.72-2.98] vs 1.9 [1.31-2.46 ], p = 0.002). AVR patients had a higher incidence of post-procedural AKI (29.6% vs 4.5%, p < 0.001), while TAVI patients had a higher incidence of LBBB (23.9% vs 1.8%, p < 0.001) and at least mild to moderate PVL (4.5% vs 0%, p = 0.021). Mid- term mortality was higher among TAVI patients (HR 0.38 [95% CI 0.23-0.88], p = 0.020). In the matched cohort TAVI had a higher incidence of LBBB (11.5% vs 1.3%, p = 0.018) and permanent PM implantation (12.8% vs 5.1%, p = 0.041), while AVR patients had a higher incidence of post-procedural AKI (33.3% vs 5.1%, p < 0.001). Mid-term mortality was higher in TAVI patients (HR 0.36 [95% CI 0.21-0.87], p = 0.019).\nCONCLUSIONS: TAVI patients demonstrated a higher mid-term mortality and a higher incidence of post-procedural conduction abnormalities and PVL which remain a concern in low-risk patients.",Vittoria Lodo,Enrico Giuseppe Italiano,Luca Weltert,Edoardo Zingarelli,Claudio Pietropaolo,Gabriella Buono,Paolo Centofanti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interdisciplinary cardiovascular and thoracic surgery,2025-04-28,10.1093/icvts/ivaf103,https://doi.org/10.1093/icvts/ivaf103,,Paid,,,,TAVI versus surgery in low risk Pts in hospital and mid term outcomes LODO 2025,Not available,Transcatheter aortic valve,TAVI patients,higher incidence,patients,TAVI,higher,low-risk patients,AVR,severe aortic stenosis,valve implantation versus,2025-04-30,approved,,aortic valve replacement,low-risk patients,transcatheter aortic valve implantation,,,,,,,,
6812ea574ef6922f6d690686,40290187,Surgical and transcatheter aortic valve replacement align survival with general population expectations: insights from standardized mortality ratios.,"BACKGROUND: Comparative long-term survival outcomes between transcatheter (TAVR) and surgical (SAVR) aortic valve replacement remain debated. While randomized controlled trials support TAVR's non-inferiority, real-world data indicate the opposite. Comparing SAVR and TAVR patients with matched reference populations may reduce bias from direct comparisons. We compared the 5-year overall survival rates of SAVR, non-frail TAVR, and frail TAVR patients with those of matched general population standards.\nMETHODS: All patients who underwent bioprosthetic SAVR or TAVR at a tertiary hospital from 2012 to 2021 were included. Based on intervention type and Clinical Frailty Scale, patients were divided into three groups: SAVR, non-frail TAVR, and frail TAVR. Survival was compared to individual-level age- and sex-matched general population data using standardized mortality ratios (SMRs).\nRESULTS: The cohort included 939 SAVR, 328 non-frail TAVR, and 121 frail TAVR patients, with mean ages of 73.6, 85.3, and 85.6 years, and median EuroSCORE II values of 1.9%, 4.0%, and 5.2%, respectively. SAVR and non-frail TAVR patients had survival rates comparable to those of the reference population [SMR = 0.93 [0.76-1.14]; p = 0.437 and SMR = 0.94 [0.76-1.15]; p = 0.468]. Conversely, frail TAVR patients faced a 40% increased mortality risk compared with their reference population [SMR = 1.40 (1.04-1.88); p = 0.012].\nCONCLUSIONS: In non-frail patients, TAVR and SAVR both restore life expectancy to general population standards. For frail TAVR patients, the lower survival rate highlights frailty's important prognostic impact and underlines the ongoing challenge of refining patient selection to avoid futility.",Marin Boute,David De Azevedo,Christophe de Terwangne,Anne-Catherine Pouleur,Agnès Pasquet,Bernhard L Gerber,Laurent de Kerchove,Christophe Beauloye,Joëlle Kefer,Frédéric Maes,Sophie Pierard,David Vancraeynest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frontiers in cardiovascular medicine,2025-04-30,10.3389/fcvm.2025.1547456,https://doi.org/10.3389/fcvm.2025.1547456,PMC12021843,Free,12,,1547456,Surgical and TAVR align survival with general population expectations insights from standardized mortality ratios BOUTE 2025,pdfs\Surgical and TAVR align survival with general population expectations insights from standardized mortality ratios BOUTE 2025.pdf,TAVR,frail TAVR patients,TAVR patients,frail TAVR,SAVR,non-frail TAVR,patients,general population,aortic valve replacement,population,2025-04-30,approved,,SAVR,TAVR,aortic stenosis,frailty,general population,life expectancy,standardized mortality ratio,survival,,,
